symbol,name
SRSN.JK,Indo Acidatama Tbk
SRTG.JK,Saratoga Investama Sedaya Tbk.
SSIA.JK,Surya Semesta Internusa Tbk.
SSMS.JK,Sawit Sumbermas Sarana Tbk.
SSTM.JK,Sunson Textile Manufacture Tbk
STAR.JK,Buana Artha Anugerah Tbk.
STTP.JK,Siantar Top Tbk.
SUGI.JK,Sugih Energy Tbk.
SULI.JK,SLJ Global Tbk.
SUPR.JK,Solusi Tunas Pratama Tbk.
TALF.JK,Tunas Alfin Tbk.
TARA.JK,Agung Semesta Sejahtera Tbk.
TAXI.JK,Express Transindo Utama Tbk.
TBIG.JK,Tower Bersama Infrastructure T
TBLA.JK,Tunas Baru Lampung Tbk.
TBMS.JK,Tembaga Mulia Semanan Tbk.
TCID.JK,Mandom Indonesia Tbk.
TELE.JK,Omni Inovasi Indonesia Tbk.
TFCO.JK,Tifico Fiber Indonesia Tbk.
TGKA.JK,Tigaraksa Satria Tbk.
TIFA.JK,KDB Tifa Finance Tbk.
TINS.JK,Timah Tbk.
TIRA.JK,Tira Austenite Tbk
TIRT.JK,Tirta Mahakam Resources Tbk
TKIM.JK,Pabrik Kertas Tjiwi Kimia Tbk.
TLKM.JK,Telkom Indonesia (Persero) Tbk
TMAS.JK,Temas Tbk.
TMPO.JK,Tempo Intimedia Tbk.
TOBA.JK,TBS Energi Utama Tbk.
TOTL.JK,Total Bangun Persada Tbk.
TOTO.JK,Surya Toto Indonesia Tbk.
TOWR.JK,Sarana Menara Nusantara Tbk.
TPIA.JK,Chandra Asri Pacific Tbk.
TPMA.JK,Trans Power Marine Tbk.
TRAM.JK,Trada Alam Minera Tbk.
TRIL.JK,Triwira Insanlestari Tbk.
TRIM.JK,Trimegah Sekuritas Indonesia T
TRIO.JK,Trikomsel Oke Tbk.
TRIS.JK,Trisula International Tbk.
TRST.JK,Trias Sentosa Tbk.
TRUS.JK,Trust Finance Indonesia Tbk
TSPC.JK,Tempo Scan Pacific Tbk.
ULTJ.JK,Ultrajaya Milk Industry & Trad
UNIC.JK,Unggul Indah Cahaya Tbk.
UNIT.JK,Nusantara Inti Corpora Tbk
UNSP.JK,Bakrie Sumatera Plantations Tb
UNTR.JK,United Tractors Tbk.
UNVR.JK,Unilever Indonesia Tbk.
VICO.JK,Victoria Investama Tbk.
VINS.JK,Victoria Insurance Tbk.
VIVA.JK,Visi Media Asia Tbk.
VOKS.JK,Voksel Electric Tbk.
VRNA.JK,Mizuho Leasing Indonesia Tbk.
WAPO.JK,Wahana Pronatural Tbk.
WEHA.JK,WEHA Transportasi Indonesia Tb
WICO.JK,Wicaksana Overseas Internation
WIIM.JK,Wismilak Inti Makmur Tbk.
WIKA.JK,Wijaya Karya (Persero) Tbk.
WINS.JK,Wintermar Offshore Marine Tbk.
WOMF.JK,Wahana Ottomitra Multiartha Tb
WSKT.JK,Waskita Karya (Persero) Tbk.
WTON.JK,Wijaya Karya Beton Tbk.
YPAS.JK,Yanaprima Hastapersada Tbk
YULE.JK,Yulie Sekuritas Indonesia Tbk.
ZBRA.JK,Dosni Roha Indonesia Tbk.
SHIP.JK,Sillo Maritime Perdana Tbk.
CASA.JK,Capital Financial Indonesia Tb
DAYA.JK,Duta Intidaya Tbk.
DPUM.JK,Dua Putra Utama Makmur Tbk.
IDPR.JK,Indonesia Pondasi Raya Tbk.
JGLE.JK,Graha Andrasentra Propertindo 
KINO.JK,Kino Indonesia Tbk.
MARI.JK,Mahaka Radio Integra Tbk.
MKNT.JK,Mitra Komunikasi Nusantara Tbk
MTRA.JK,Mitra Pemuda Tbk.
OASA.JK,Maharaksa Biru Energi Tbk.
POWR.JK,Cikarang Listrindo Tbk.
INCF.JK,Indo Komoditi Korpora Tbk.
WSBP.JK,Waskita Beton Precast Tbk.
PBSA.JK,Paramita Bangun Sarana Tbk.
PRDA.JK,Prodia Widyahusada Tbk.
BOGA.JK,Bintang Oto Global Tbk.
BRIS.JK,Bank Syariah Indonesia Tbk.
PORT.JK,Nusantara Pelabuhan Handal Tbk
CARS.JK,Industri dan Perdagangan Bintr
MINA.JK,Sanurhasta Mitra Tbk.
CLEO.JK,Sariguna Primatirta Tbk.
TAMU.JK,Pelayaran Tamarin Samudra Tbk.
CSIS.JK,Cahayasakti Investindo Sukses 
TGRA.JK,Terregra Asia Energy Tbk.
FIRE.JK,Alfa Energi Investama Tbk.
TOPS.JK,Totalindo Eka Persada Tbk.
KMTR.JK,Kirana Megatara Tbk.
ARMY.JK,Armidian Karyatama Tbk.
MAPB.JK,MAP Boga Adiperkasa Tbk.
WOOD.JK,Integra Indocabinet Tbk.
HRTA.JK,Hartadinata Abadi Tbk.
MABA.JK,Marga Abhinaya Abadi Tbk.
HOKI.JK,Buyung Poetra Sembada Tbk.
MPOW.JK,Megapower Makmur Tbk.
MARK.JK,Mark Dynamics Indonesia Tbk.
